id,shapeid,name,area,sdate,edate,kommunkod,wikidata,lan,class
387,2217,Bjärtrå,,1971-01-01,1973-12-31,2217,14856970,,k2217
388,2214,Noraström,,1971-01-01,1973-12-31,2214,14877250,,k2214
389,2216,Ullånger,,1971-01-01,1973-12-31,2216,14898904,,k2216
390,2215,Nordingrå,,1971-01-01,1973-12-31,2215,14878334,,k2215
391,9121,Ovanåker,,1971-01-01,1976-12-31,2121,505085,,k2121 
392,9183,Bollnäs,,1974-01-01,1976-12-31,2183,62469,,k2183 
393,8183,Bollnäs,,1971-01-01,1973-12-31,2183,62469,,k2183 
394,2120,Alfta,,1971-01-01,1973-12-31,2120,10405129,,k2120
395,2127,Arbrå,,1971-01-01,1973-12-31,2127,10417108,,k2127
396,2118,Hanebo,,1971-01-01,1973-12-31,2118,10517198,,k2118
397,2114,Rengsjö,,1971-01-01,1973-12-31,2114,16579736,,k2114
398,2135,Hassela,,1971-01-01,1973-12-31,2135,10518431,,k2135
399,2134,Bergsjö,,1971-01-01,1973-12-31,2134,10428519,,k2134
400,2133,Gnarp,,1971-01-01,1973-12-31,2133,10506443,,k2133
401,9132,Harmånger,,1971-01-01,1973-12-31,2132,10518178,,k2132
402,2014,Söderbärke,,1971-01-01,1973-12-31,2014,10688508,,k2014
403,9061,Smedjebacken,,1971-01-01,1973-12-31,2061,505046,,k2061 
404,2033,Ore,,1971-01-01,1973-12-31,2033,10611284,,k2033
405,9031,Rättvik,,1971-01-01,1973-12-31,2031,504244,,k2031 
406,9380,Uppsala,,1971-01-01,2002-12-31,380,59091,,k380 
