id,shapeid,name,area,sdate,edate,kommunkod,wikidata,lan,class
277,2084,Avesta,615,1971-01-01,9,2084,500071,,k2084 
278,2085,Ludvika,1500.7,1971-01-01,9,2085,503184,,k2085 
279,2101,Ockelbo,1070.5,1971-01-01,9,2101,505109,,k2101 
280,2104,Hofors,410.6,1971-01-01,9,2104,62464,,k2104 
281,2121,Ovanåker,1882.1,1977-01-01,9,2121,505085,,k2121 
282,2132,Nordanstig,1378.8,1974-01-01,9,2132,514805,,k2132 
283,2161,Ljusdal,5294.5,1971-01-01,9,2161,515235,,k2161 
284,2180,Gävle,1603.5,1971-01-01,9,2180,510010,,k2180 
285,2181,Sandviken,1165.4,1971-01-01,9,2181,149539,,k2181 
286,2182,Söderhamn,1062.2,1971-01-01,9,2182,145835,,k2182 
287,2183,Bollnäs,1827.3,1977-01-01,9,2183,62469,,k2183 
288,2184,Hudiksvall,2496.5,1971-01-01,9,2184,29963,,k2184 
289,2260,Ånge,3065.2,1971-01-01,9,2260,271107,,k2260 
290,2262,Timrå,787,1971-01-01,9,2262,504983,,k2262 
291,2280,Härnösand,1064.7,1971-01-01,9,2280,209634,,k2280 
292,2281,Sundsvall,3206,1971-01-01,9,2281,504994,,k2281 
293,2282,Kramfors,1703.4,1974-01-01,9,2282,514815,,k2282 
294,2283,Sollefteå,5433.7,1974-01-01,9,2283,221990,,k2283 
295,2284,Örnsköldsvik,6418.3,1971-01-01,9,2284,298003,,k2284 
296,9303,Ragunda,,1971-01-01,1973-12-31,2303,515342,,k2303 
297,2303,Ragunda,2527.2,1974-01-01,9,2303,515342,,k2303 
298,9305,Bräcke,,1971-01-01,1973-12-31,2305,504261,,k2305 
299,2305,Bräcke,3453.8,1974-01-01,9,2305,504261,,k2305 
300,2309,Krokom,6210.8,1974-01-01,9,2309,514707,,k2309 
301,2313,Strömsund,10545.5,1974-01-01,9,2313,514770,,k2313 
302,9321,Åre,,1971-01-01,1973-12-31,2321,271153,,k2321 
303,2321,Åre,7330.8,1974-01-01,9,2321,271153,,k2321 
