"id","shapeid","municipality_code","name","wikidata","class","sdate","edate"
10239,1524,1524,"Norddal",494011,"m1524",0,9
10240,2019,2019,"Nordkapp",62641,"m2019",0,9
10241,538,538,"Nordre Land",486741,"m538",0,9
10242,1942,1942,"Nordreisa",494059,"m1942",0,9
10243,633,633,"Nore og Uvdal",48924,"m633",0,9
10244,807,807,"Notodden",2326,"m807",0,9
10245,1751,1751,"Nærøy",488979,"m1751",0,9
10246,722,722,"Nøtterøy",206469,"m722",0,9
10247,1228,1228,"Odda",109494,"m1228",0,9
10248,1634,1634,"Oppdal",113595,"m1634",0,9
10249,217,217,"Oppegård",57868,"m217",0,9
10250,1638,1638,"Orkdal",500284,"m1638",0,9
10251,441,441,"Os",507562,"m441",0,9
10252,1243,1243,"Os",507562,"m1243",0,9
10253,1633,1633,"Osen",484257,"m1633",0,9
10254,301,301,"Oslo",585,"m301",0,9
10255,1253,1253,"Osterøy",488067,"m1253",0,9
10256,1744,1744,"Overhalla",499761,"m1744",0,9
10257,2020,2020,"Porsanger",483885,"m2020",0,9
10258,805,805,"Porsgrunn",2290,"m805",0,9
10259,1260,1260,"Radøy",488966,"m1260",0,9
10260,128,128,"Rakkestad",483969,"m128",0,9
10261,1833,1833,"Rana",484322,"m1833",0,9
10262,1127,1127,"Randaberg",492115,"m1127",0,9
10263,1539,1539,"Rauma",500205,"m1539",0,9
10264,716,716,"Re",499570,"m716",0,9
10265,432,432,"Rendalen",488229,"m432",0,9
10266,1635,1635,"Rennebu",488124,"m1635",0,9
10267,1142,1142,"Rennesøy",494045,"m1142",0,9
10268,1567,1567,"Rindal",488242,"m1567",0,9
10269,520,520,"Ringebu",48637,"m520",0,9
10270,605,605,"Ringerike",110848,"m605",0,9
10271,412,412,"Ringsaker",113466,"m412",0,9
10272,1624,1624,"Rissa",488157,"m1624",0,9
10273,901,901,"Risør",90595,"m901",0,9
10274,1632,1632,"Roan",503600,"m1632",0,9
10275,632,632,"Rollag",483911,"m632",0,9
10276,136,136,"Rygge",486696,"m136",0,9
10277,135,135,"Rælingen",57870,"m135",0,9
10278,228,228,"Rødøy",488046,"m228",0,9
10279,1836,1836,"Rømskog",113622,"m1836",0,9
10280,121,121,"Røros",108999,"m121",0,9
10281,1640,1640,"Røst",130048,"m1640",0,9
10282,1856,1856,"Røyken",488663,"m1856",0,9
10283,627,627,"Røyrvik",484088,"m627",0,9
10284,1739,1739,"Råde",483906,"m1739",0,9
10285,1923,1923,"Salangen",500194,"m1923",0,9
10286,1840,1840,"Saltdal",48880,"m1840",0,9
10287,1242,1242,"Samnanger",488234,"m1242",0,9
10288,713,713,"Sande",501510,"m713",0,9
10289,1514,1514,"Sande",501510,"m1514",0,9
10290,706,706,"Sandefjord",109005,"m706",0,2016-12-31
10291,1102,1102,"Sandnes",27587,"m1102",0,9
10292,1546,1546,"Sandøy",48794,"m1546",0,9
10293,105,105,"Sarpsborg",108025,"m105",0,9
10294,1135,1135,"Sauda",485297,"m1135",0,9
10295,822,822,"Sauherad",2381,"m822",0,9
10296,517,517,"Sel",507499,"m517",0,9
10297,1664,1664,"Selbu",492209,"m1664",0,9
10298,1441,1441,"Selje",484313,"m1441",0,9
10299,828,828,"Seljord",2236,"m828",0,9
10300,621,621,"Sigdal",486726,"m621",0,9
10301,811,811,"Siljan",2308,"m811",0,9
10302,1046,1046,"Sirdal",281835,"m1046",0,9
10303,1657,1657,"Skaun",500186,"m1657",0,9
10304,231,231,"Skedsmo",57871,"m231",0,9
10305,213,213,"Ski",219376,"m213",0,9
10306,806,806,"Skien",2272,"m806",0,9
10307,127,127,"Skiptvet",156420,"m127",0,9
10308,1941,1941,"Skjervøy",128762,"m1941",0,9
10309,513,513,"Skjåk",484116,"m513",0,9
10310,1529,1529,"Skodje",48265,"m1529",0,9
10311,1913,1913,"Skånland",490038,"m1913",0,9
10312,1573,1573,"Smøla",483899,"m1573",0,9
10313,1613,1613,"Snillfjord",48568,"m1613",0,9
10314,1736,1736,"Snåsa",493846,"m1736",0,9
10315,1420,1420,"Sogndal",490923,"m1420",0,9
10316,1111,1111,"Sokndal",48858,"m1111",0,9
10317,1124,1124,"Sola",488948,"m1124",0,9
10318,1412,1412,"Solund",48647,"m1412",0,9
10319,1017,1017,"Songdalen",505956,"m1017",0,9
10320,1870,1870,"Sortland",48844,"m1870",0,9
10321,123,123,"Spydeberg",48668,"m123",0,9
10322,417,417,"Stange",48542,"m417",0,9
10323,1103,1103,"Stavanger",25416,"m1103",0,9
10324,1848,1848,"Steigen",494005,"m1848",0,9
10325,1702,1702,"Steinkjer",110431,"m1702",0,9
10326,1714,1714,"Stjørdal",217802,"m1714",0,9
10327,720,720,"Stokke",5499099,"m720",0,2016-12-31
10328,430,430,"Stor-Elvdal",48526,"m430",0,9
10329,1221,1221,"Stord",485253,"m1221",0,9
10330,1526,1526,"Stordal",48560,"m1526",0,9
10331,1939,1939,"Storfjord",48657,"m1939",0,9
10332,1130,1130,"Strand",48591,"m1130",0,9
10333,1525,1525,"Stranda",48501,"m1525",0,9
10334,1449,1449,"Stryn",5223,"m1449",0,9
10335,1531,1531,"Sula",507524,"m1531",0,9
10336,1134,1134,"Suldal",48577,"m1134",0,9
10337,1245,1245,"Sund",507509,"m1245",0,9
10338,1563,1563,"Sunndal",48521,"m1563",0,9
10339,1566,1566,"Surnadal",48545,"m1566",0,9
10340,1216,1216,"Sveio",48518,"m1216",0,9
10341,711,711,"Svelvik",48701,"m711",0,9
10342,1528,1528,"Sykkylven",48508,"m1528",0,9
10343,1018,1018,"Søgne",501401,"m1018",0,9
10344,1812,1812,"Sømna",48610,"m1812",0,9
10345,536,536,"Søndre Land",484093,"m536",0,9
10346,540,540,"Sør-Aurdal",48414,"m540",0,9
10347,519,519,"Sør-Fron",488054,"m519",0,9
10348,419,419,"Sør-Odal",48615,"m419",0,9
10349,2030,2030,"Sør-Varanger",48827,"m2030",0,9
10350,1845,1845,"Sørfold",484097,"m1845",0,9
10351,1925,1925,"Sørreisa",48325,"m1925",0,9
10352,226,226,"Sørum",57914,"m226",0,9
10353,2025,2025,"Tana",483964,"m2025",0,9
10354,1121,1121,"Time",493981,"m1121",0,9
10355,1560,1560,"Tingvoll",488252,"m1560",0,9
10356,826,826,"Tinn",2365,"m826",0,9
10357,1852,1852,"Tjeldsund",48801,"m1852",0,9
10358,723,723,"Tjøme",48687,"m723",0,9
10359,833,833,"Tokke",2241,"m833",0,9
10360,436,436,"Tolga",507549,"m436",0,9
